[92106429, 0, 6, 12, 14, 236003, 236001, 11112, 1614314278]
[92106430, 12, 12, 6, 20, 236007, 236005, 11112, 1614314278]
[92106431, 8, 1, 13, 8, 236011, 236009, 11112, 1614314278]
[92106432, 8, 14, 10, 14, 236015, 236013, 11112, 1614314278]
[92106433, 16, 16, 11, 3, 236019, 236017, 11112, 1614314278]
[92106434, 1, 18, 19, 13, 236023, 236021, 11112, 1614314278]
[92106435, 20, 4, 0, 20, 236027, 236025, 11112, 1614314278]
[92106436, 15, 6, 17, 10, 236031, 236029, 11112, 1614314278]
[92106437, 2, 6, 6, 2, 236035, 236033, 11112, 1614314278]
[92106438, 13, 9, 0, 18, 236039, 236037, 11112, 1614314278]
[92106439, 16, 7, 17, 15, 236043, 236041, 11111, 1614314278]
['/', '/', '/', '/', '/', 240036, 236046, 11111, 1614314304]
[92106441, 13, 18, 19, 1, 236051, 236049, 11112, 1614314278]
[92106442, 20, 19, 8, 19, 236055, 236053, 11112, 1614314278]
[92106443, 19, 7, 14, 15, 236059, 236057, 11112, 1614314278]
[92106444, 8, 18, 19, 7, 236063, 236061, 11112, 1614314278]
[92106445, 15, 17, 13, 2, 236067, 236065, 11112, 1614314278]
[92106446, 9, 13, 4, 3, 236071, 236069, 11112, 1614314278]
[92106447, 7, 1, 10, 0, 236075, 236073, 11112, 1614314278]
[92106448, 19, 12, 4, 13, 236079, 236077, 11112, 1614314278]
[92106449, 19, 8, 13, 17, 236083, 236081, 11112, 1614314278]
['/', '/', '/', '/', '/', 240091, 236086, 11111, 1614314304]
[92106451, 19, 3, 5, 20, 236091, 236089, 11112, 1614314278]
[92106452, 18, 20, 2, 10, 236095, 236093, 11112, 1614314278]
[92106453, 16, 1, 9, 14, 236099, 236097, 11112, 1614314278]
[92106454, 11, 14, 11, 15, 236103, 236101, 11112, 1614314278]
['/', '/', '/', '/', '/', 240077, 236106, 11111, 1614314304]
[92106456, 10, 9, 18, 11, 236111, 236109, 11112, 1614314278]
['/', '/', '/', '/', '/', 240083, 236114, 11111, 1614314304]
[92106458, 6, 4, 13, 10, 236119, 236117, 11112, 1614314278]
[92106459, 9, 5, 13, 19, 236123, 236121, 11112, 1614314278]
[92106460, 17, 18, 17, 13, 236127, 236125, 11112, 1614314278]
[92106461, 1, 14, 17, 14, 236131, 236129, 11112, 1614314278]
[92106462, 7, 1, 4, 3, 236135, 236133, 11112, 1614314278]
[92106463, 18, 12, 15, 13, 236139, 236137, 11112, 1614314278]
[92106464, 8, 3, 6, 8, 236143, 236141, 11112, 1614314278]
['/', '/', '/', '/', '/', 240075, 236146, 11111, 1614314304]
[92106466, 1, 17, 5, 13, 236151, 236149, 11112, 1614314278]
[92106467, 18, 11, 8, 15, 236155, 236153, 11112, 1614314278]
